ID,Grant Name,Geographic Eligibility,Typical Award,Application Status,Contact Email,Next Deadline,Eligibility Requirements,Bloom Power Fit Notes,Website URL
1,Bank of America Charitable Foundation,National (eligible BofA markets),$25k–$200k,Researching,foundation@bofa.com,TBD — 2026 windows have passed,"501(c)(3); must serve an eligible Bank of America market and meet applicable funding-priority requirements.","Excellent fit for Bloom Power's financial literacy, entrepreneurship, workforce readiness, leadership, and economic-mobility programming.",https://about.bankofamerica.com/en/making-an-impact/charitable-foundation-grant-faq
2,Florida Blue Foundation,Florida,$25k–$200k,Researching,floridabluefoundation@floridablue.com,TBD,"Florida nonprofit aligned with the Foundation's current strategic priorities; exact eligibility varies by grant program.","Strong fit for youth development, social-emotional learning, confidence, leadership, wellness, and family/community engagement.",https://www.floridablue.com/foundation/community-investments
3,Publix Charities,Southeast U.S.,$5k–$100k,Researching,charitable.donationshelp@publix.com,Rolling / TBD,"Eligible nonprofit, school, or government organization serving Publix's operating footprint and fitting applicable charitable priorities.","Excellent Florida fit for youth empowerment, education, mentoring, leadership, and community engagement.",https://corporate.publix.com/community/giving
4,Walmart Spark Good Local Grants,National,$250–$5000,Researching,TBD,TBD — verify current cycle,"Eligible organizations must maintain required Spark Good/Deed verification and meet Walmart's nonprofit eligibility rules.","Strong fit for local service projects, environmental activities, financial-literacy events, youth leadership, and volunteerism.",https://walmart.org/sparkgood
5,PNC Foundation / PNC Grow Up Great,National (PNC footprint),$10k–$100k,Researching,pnc.growupgreat@pnc.com,Varies by program/region; TBD,"Eligibility and application requirements vary by PNC program and geography; eligible nonprofits must meet the applicable program criteria.","Good fit when Bloom emphasizes financial education, economic opportunity, education, or community development.",https://www.pnc.com/en/about-pnc/corporate-responsibility/philanthropy.html
6,Wells Fargo Foundation,National,$25k–$250k,Researching,grantadministration@wellsfargo.com,TBD,"Eligible nonprofit organizations and other qualifying entities; many corporate opportunities are relationship- or invitation-based.","Strong fit for financial empowerment, entrepreneurship, workforce readiness, and economic-opportunity programming.",https://www.wellsfargo.com/about/corporate-responsibility/community-giving/
7,State Farm Good Neighbor Citizenship Company Grants,National,$25k–$100k,Researching,TBD,TBD — invitation process,"501(c)(3) charitable nonprofits and other listed eligible entities; current opportunities are generally invitation-based.","Strong fit for financial literacy, education, leadership, mentoring, community development, and STEM.",https://www.statefarm.com/about-us/community-grants
8,Youth Service America – We Serve to Remember 9/11 Day of Service Grants,National,$250–$1000,Researching,sganske@ysa.org,TBD — 2026 deadline passed,"U.S.-based organizations, schools, and youth changemakers; individual cycle requirements include youth-led service and minimum participation requirements.","Very strong fit for Bloom's teen service, leadership, teamwork, volunteerism, civic responsibility, and community engagement.",https://ysa.org/grants/
9,The Allstate Foundation – Good Starts Young / community giving,National,Varies,Researching,TBD,TBD,"Eligibility and application access vary by current program; confirm the current application pathway and nonprofit requirements.","Strong fit for youth empowerment, social-emotional skills, confidence, leadership, service, and community impact.",https://www.nassp.org/programs/student-programs/national-student-council/
10,National Environmental Education Foundation (NEEF) – Grant Programs,National,$5k–$50k,Researching,grants@neefusa.org,TBD,"Eligibility varies by individual NEEF grant; opportunities may require eligible nonprofit status and/or partnerships.","Strong fit for environmental education, youth-led conservation, outdoor learning, sustainability, and service-learning.",https://www.neefusa.org/grants
11,US Department of Health and Human Services (HHS) – Grants.gov opportunities,National,$100k+,Researching,TBD,TBD,"Eligibility is opportunity-specific; federal applicants must meet the applicable NOFO, registration, and compliance requirements.","Potential fit when a NOFO supports youth development, workforce readiness, social-emotional supports, education, or community opportunity.",https://www.grants.gov
12,American Legion Child Welfare Foundation,National,$5k–$50k,Researching,TBD,TBD,"Grant eligibility and priorities are set by the Foundation's current cycle and generally focus on organizations serving children and youth.","Good fit for youth development, mentoring, character development, leadership, and life-skills programming.",https://cwf-inc.org
13,Youth as Resources,Select markets,$500–$10k,Researching,jreeder@youthasresources.org,TBD,"Eligibility varies by local Youth as Resources program/site; generally supports youth-led community service and civic engagement projects.","Very strong fit for Bloom's teen service, civic responsibility, volunteerism, leadership, teamwork, and community engagement.",https://www.youthasresources.org
14,Project Learning Tree / Environmental Education Grants,National,Varies,Researching,TBD,TBD,"Eligibility varies by current PLT grant; opportunities generally support environmental education, youth engagement, outdoor learning, and educator capacity.","Strong fit for environmental education and stewardship, especially youth-led conservation and sustainability projects.",https://www.plt.org
15,Jim Moran Foundation,Florida,$25k+,Researching,TBD,TBD,"Florida nonprofits must meet the Foundation's current program-area and geographic requirements; funding priorities vary by initiative.","Strong Florida prospect for youth development, education, confidence, life skills, and measurable community impact.",https://jimmoranfoundation.org/grant/guidelines
16,Children's Services Council of Broward County,Broward County FL,$50k+,Researching,info@cscbroward.org,TBD,"Eligibility is program- and procurement-specific and may require qualifying Broward County service delivery, reporting capacity, and compliance with CSC rules.","Extremely strong geographic and mission fit for Bloom's Broward youth development, mentoring, SEL, family engagement, and educational enrichment.",https://www.cscbroward.org/provider/
17,Helios Education Foundation,Florida & Arizona,$50k+,Researching,TBD,TBD,"Programs and eligibility are initiative-specific and generally focus on education, postsecondary attainment, and economic mobility in service regions.","Good fit for college/career readiness, workforce preparation, academic enrichment, financial literacy, and leadership.",https://www.helios.org/grants
18,OYC Miami,Miami-Dade County FL,Partnership-based,Researching,TBD,TBD,"Eligibility and application requirements vary by current opportunity; confirm whether the opportunity is open to independent nonprofits and its geographic requirements.","Strong local thematic fit for youth empowerment, mentoring, leadership, service, and positive youth development.",https://www.oycmiami.org
